,rfid,animal_id_given_by_breeder,sex,cohort,site,escalation_of_heroin_intake_12h,total_heroin_consumption,bp,tail_flick_bl2,regressedlr_cluster,regressedlr_1vAll_cluster_1,regressedlr_1vAll_cluster_2,regressedlr_1vAll_cluster_3,surgery_weight,room_box
0,933000320047064,IT087,F,Unicam_03,UCAM,1453.333333,8720.0,6.0,2.15,1.0,1.0,0.0,0.0,162.0,46_3
1,933000320047179,IT110,M,Unicam_03,UCAM,193.3333333,5240.0,4.0,3.025,1.0,1.0,0.0,0.0,317.0,48_6
2,933000320047032,IT113,M,Unicam_03,UCAM,33.33333333,4560.0,6.0,3.0,1.0,1.0,0.0,0.0,360.0,48_7
3,933000320047986,IT121,M,Unicam_04,UCAM,440.0,6660.0,2.0,5.3,1.0,1.0,0.0,0.0,245.0,46_1
4,933000320047998,IT123,F,Unicam_04,UCAM,413.3333333,16900.0,12.0,2.6,1.0,1.0,0.0,0.0,157.0,46_1
5,933000320047807,IT125,M,Unicam_04,UCAM,266.6666667,11480.0,4.0,5.625,1.0,1.0,0.0,0.0,280.0,46_3
6,933000320047818,IT128,F,Unicam_04,UCAM,640.0,9260.0,9.0,2.95,1.0,1.0,0.0,0.0,182.0,46_4
7,933000320047825,IT133,M,Unicam_04,UCAM,453.3333333,10600.0,40.0,2.725,1.0,1.0,0.0,0.0,273.0,46_5
8,933000320047819,IT135,F,Unicam_04,UCAM,846.6666667,9000.0,20.0,2.425,1.0,1.0,0.0,0.0,150.0,46_5
9,933000320047816,IT138,M,Unicam_04,UCAM,513.3333333,9560.0,6.0,4.625,1.0,1.0,0.0,0.0,309.0,46_8
10,933000320047747,IT139,F,Unicam_04,UCAM,473.3333333,15980.0,20.0,2.6,1.0,1.0,0.0,0.0,158.0,46_7
11,933000320047733,IT141,M,Unicam_04,UCAM,520.0,10060.0,6.0,2.4,1.0,1.0,0.0,0.0,212.0,48_1
